Communes
Aubervilliers,93300
Resultat_candidats
Emmanuel MACRON,12635,ref_parti,ref_Tour,ref_Commune
Marine LE PEN,2880,ref_parti,ref_Tour,ref_Commune
Donnees_generales
Inscrits,27301
Abstentions,10324
Votants,16977
Blancs,1056
Nuls,406
Exprimes,15515
ref_Tour
ref_Commune
Resultat_Candidats
Jean-Luc MELENCHON,7242
Emmanuel MACRON,3976
Marine LE PEN,2208
Francois FILLON,1583
Benoit HAMON,1519
Nicolas DUPONT-AIGNAN,330
Francois ASSELINEAU,266
Nathalie ARTHAUD,189
Philippe POUTOU,182
Jean LASSALLE,88
Jacques CHEMINADE,37
Donnees_generales
Inscrits,27335
Abstentions,9188
Votants,18147
Blancs,335
Nuls,192
Exprimes,17620
ref_Tour
ref_Commune
